"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/25/2016 01:25:00","NPX",61845,18.67,1.49,-3.16
"10/25/2016 01:25:00","O H",61846,13.60,-0.44,0.00
"10/25/2016 01:25:00","PJM",61847,14.51,0.48,0.00
"10/25/2016 01:25:00","WEST",61752,13.78,-0.25,0.00
"10/25/2016 01:30:00","CAPITL",61757,15.06,1.04,0.00
"10/25/2016 01:30:00","CENTRL",61754,14.13,0.11,0.00
"10/25/2016 01:30:00","DUNWOD",61760,15.21,1.19,0.00
"10/25/2016 01:30:00","GENESE",61753,13.81,-0.21,0.00
"10/25/2016 01:30:00","H Q",61844,13.57,-0.45,0.00
"10/25/2016 01:30:00","HUD VL",61758,15.17,1.15,0.00
"10/25/2016 01:30:00","LONGIL",61762,15.62,1.60,0.00
"10/25/2016 01:30:00","MHK VL",61756,14.42,0.41,0.00
"10/25/2016 01:30:00","MILLWD",61759,15.20,1.18,0.00
"10/25/2016 01:30:00","N.Y.C.",61761,15.28,1.26,0.00
"10/25/2016 01:30:00","NORTH",61755,13.39,-0.63,0.00
"10/25/2016 01:30:00","NPX",61845,18.63,1.46,-3.16
"10/25/2016 01:30:00","O H",61846,13.60,-0.42,0.00
"10/25/2016 01:30:00","PJM",61847,14.48,0.46,0.00
"10/25/2016 01:30:00","WEST",61752,13.77,-0.25,0.00
"10/25/2016 01:35:00","CAPITL",61757,14.79,1.01,0.00
"10/25/2016 01:35:00","CENTRL",61754,13.91,0.12,0.00
"10/25/2016 01:35:00","DUNWOD",61760,14.97,1.19,0.00
"10/25/2016 01:35:00","GENESE",61753,13.58,-0.21,0.00
"10/25/2016 01:35:00","H Q",61844,13.34,-0.44,0.00
"10/25/2016 01:35:00","HUD VL",61758,14.93,1.14,0.00
"10/25/2016 01:35:00","LONGIL",61762,15.40,1.60,-0.02
"10/25/2016 01:35:00","MHK VL",61756,14.20,0.41,0.00
"10/25/2016 01:35:00","MILLWD",61759,14.96,1.17,0.00
"10/25/2016 01:35:00","N.Y.C.",61761,15.04,1.25,0.00
"10/25/2016 01:35:00","NORTH",61755,13.15,-0.63,0.00
"10/25/2016 01:35:00","NPX",61845,15.87,1.41,-0.68
"10/25/2016 01:35:00","O H",61846,13.39,-0.40,0.00
"10/25/2016 01:35:00","PJM",61847,14.26,0.47,0.00
"10/25/2016 01:35:00","WEST",61752,13.57,-0.22,0.00
"10/25/2016 01:40:00","CAPITL",61757,13.69,0.93,0.00
"10/25/2016 01:40:00","CENTRL",61754,12.88,0.13,0.00
"10/25/2016 01:40:00","DUNWOD",61760,13.85,1.10,0.00
"10/25/2016 01:40:00","GENESE",61753,12.57,-0.19,0.00
"10/25/2016 01:40:00","H Q",61844,12.34,-0.42,0.00
"10/25/2016 01:40:00","HUD VL",61758,13.82,1.06,0.00
"10/25/2016 01:40:00","LONGIL",61762,14.25,1.48,-0.02
"10/25/2016 01:40:00","MHK VL",61756,13.14,0.38,0.00
"10/25/2016 01:40:00","MILLWD",61759,13.85,1.10,0.00
"10/25/2016 01:40:00","N.Y.C.",61761,13.92,1.16,0.00
"10/25/2016 01:40:00","NORTH",61755,12.16,-0.60,0.00
"10/25/2016 01:40:00","NPX",61845,14.74,1.30,-0.68
"10/25/2016 01:40:00","O H",61846,12.40,-0.36,0.00
"10/25/2016 01:40:00","PJM",61847,13.20,0.45,0.00
"10/25/2016 01:40:00","WEST",61752,12.57,-0.19,0.00
"10/25/2016 01:45:00","CAPITL",61757,11.05,0.74,0.00
"10/25/2016 01:45:00","CENTRL",61754,10.41,0.10,0.00
"10/25/2016 01:45:00","DUNWOD",61760,11.20,0.89,0.00
"10/25/2016 01:45:00","GENESE",61753,10.18,-0.13,0.00
"10/25/2016 01:45:00","H Q",61844,9.97,-0.34,0.00
"10/25/2016 01:45:00","HUD VL",61758,11.17,0.86,0.00
"10/25/2016 01:45:00","LONGIL",61762,11.52,1.20,-0.02
"10/25/2016 01:45:00","MHK VL",61756,10.61,0.30,0.00
"10/25/2016 01:45:00","MILLWD",61759,11.20,0.89,0.00
"10/25/2016 01:45:00","N.Y.C.",61761,11.25,0.94,0.00
"10/25/2016 01:45:00","NORTH",61755,9.83,-0.48,0.00
"10/25/2016 01:45:00","NPX",61845,12.03,1.04,-0.68
"10/25/2016 01:45:00","O H",61846,10.04,-0.27,0.00
"10/25/2016 01:45:00","PJM",61847,10.68,0.37,0.00
"10/25/2016 01:45:00","WEST",61752,10.19,-0.12,0.00
"10/25/2016 01:50:00","CAPITL",61757,5.56,0.36,0.00
"10/25/2016 01:50:00","CENTRL",61754,5.26,0.06,0.00
"10/25/2016 01:50:00","DUNWOD",61760,5.63,0.44,0.00
"10/25/2016 01:50:00","GENESE",61753,5.15,-0.05,0.00
"10/25/2016 01:50:00","H Q",61844,5.03,-0.17,0.00
"10/25/2016 01:50:00","HUD VL",61758,5.62,0.42,0.00
"10/25/2016 01:50:00","LONGIL",61762,5.81,0.59,-0.02
"10/25/2016 01:50:00","MHK VL",61756,5.35,0.16,0.00
"10/25/2016 01:50:00","MILLWD",61759,5.63,0.44,0.00
"10/25/2016 01:50:00","N.Y.C.",61761,5.66,0.46,0.00
"10/25/2016 01:50:00","NORTH",61755,4.96,-0.23,0.00
"10/25/2016 01:50:00","NPX",61845,5.69,0.49,0.00
"10/25/2016 01:50:00","O H",61846,5.09,-0.11,0.00
"10/25/2016 01:50:00","PJM",61847,5.39,0.19,0.00
"10/25/2016 01:50:00","WEST",61752,5.16,-0.04,0.00
"10/25/2016 01:55:00","CAPITL",61757,2.22,0.14,0.00
"10/25/2016 01:55:00","CENTRL",61754,2.10,0.03,0.00
"10/25/2016 01:55:00","DUNWOD",61760,2.25,0.18,0.00
"10/25/2016 01:55:00","GENESE",61753,2.06,-0.02,0.00
"10/25/2016 01:55:00","H Q",61844,2.01,-0.07,0.00
"10/25/2016 01:55:00","HUD VL",61758,2.24,0.17,0.00
"10/25/2016 01:55:00","LONGIL",61762,2.33,0.24,-0.02
"10/25/2016 01:55:00","MHK VL",61756,2.14,0.06,0.00
"10/25/2016 01:55:00","MILLWD",61759,2.25,0.18,0.00
"10/25/2016 01:55:00","N.Y.C.",61761,2.26,0.19,0.00
"10/25/2016 01:55:00","NORTH",61755,1.98,-0.10,0.00
"10/25/2016 01:55:00","NPX",61845,2.27,0.19,0.00
"10/25/2016 01:55:00","O H",61846,2.03,-0.04,0.00
"10/25/2016 01:55:00","PJM",61847,2.16,0.08,0.00
"10/25/2016 01:55:00","WEST",61752,2.06,-0.01,0.00
"10/25/2016 02:00:00","CAPITL",61757,5.65,0.37,0.00
"10/25/2016 02:00:00","CENTRL",61754,5.31,0.04,0.00
"10/25/2016 02:00:00","DUNWOD",61760,5.72,0.45,0.00
"10/25/2016 02:00:00","GENESE",61753,5.18,-0.09,0.00
"10/25/2016 02:00:00","H Q",61844,5.12,-0.16,0.00
"10/25/2016 02:00:00","HUD VL",61758,5.71,0.43,0.00
"10/25/2016 02:00:00","LONGIL",61762,5.85,0.58,0.00
"10/25/2016 02:00:00","MHK VL",61756,5.43,0.15,0.00
"10/25/2016 02:00:00","MILLWD",61759,5.72,0.45,0.00
"10/25/2016 02:00:00","N.Y.C.",61761,5.75,0.47,0.00
"10/25/2016 02:00:00","NORTH",61755,5.04,-0.23,0.00
"10/25/2016 02:00:00","NPX",61845,5.80,0.52,0.00
"10/25/2016 02:00:00","O H",61846,5.10,-0.18,0.00
"10/25/2016 02:00:00","PJM",61847,5.44,0.17,0.00
"10/25/2016 02:00:00","WEST",61752,5.17,-0.11,0.00
"10/25/2016 02:05:00","CAPITL",61757,11.38,0.75,0.00
"10/25/2016 02:05:00","CENTRL",61754,10.69,0.06,0.00
"10/25/2016 02:05:00","DUNWOD",61760,11.49,0.86,0.00
"10/25/2016 02:05:00","GENESE",61753,10.39,-0.23,0.00
"10/25/2016 02:05:00","H Q",61844,10.33,-0.30,0.00
"10/25/2016 02:05:00","HUD VL",61758,11.47,0.84,0.00
"10/25/2016 02:05:00","LONGIL",61762,11.68,1.05,0.00
"10/25/2016 02:05:00","MHK VL",61756,10.92,0.30,0.00
"10/25/2016 02:05:00","MILLWD",61759,11.49,0.86,0.00
"10/25/2016 02:05:00","N.Y.C.",61761,11.54,0.91,0.00
"10/25/2016 02:05:00","NORTH",61755,10.19,-0.44,0.00
"10/25/2016 02:05:00","NPX",61845,19.07,1.07,-7.37
"10/25/2016 02:05:00","O H",61846,10.22,-0.40,0.00
"10/25/2016 02:05:00","PJM",61847,10.96,0.33,0.00
"10/25/2016 02:05:00","WEST",61752,10.37,-0.26,0.00
"10/25/2016 02:10:00","CAPITL",61757,10.82,0.70,0.00
"10/25/2016 02:10:00","CENTRL",61754,10.19,0.07,0.00
"10/25/2016 02:10:00","DUNWOD",61760,10.96,0.84,0.00
"10/25/2016 02:10:00","GENESE",61753,9.91,-0.21,0.00
"10/25/2016 02:10:00","H Q",61844,9.83,-0.29,0.00
"10/25/2016 02:10:00","HUD VL",61758,10.94,0.82,0.00
"10/25/2016 02:10:00","LONGIL",61762,11.15,1.03,0.00
"10/25/2016 02:10:00","MHK VL",61756,10.41,0.29,0.00
"10/25/2016 02:10:00","MILLWD",61759,10.96,0.84,0.00
"10/25/2016 02:10:00","N.Y.C.",61761,11.02,0.90,0.00
"10/25/2016 02:10:00","NORTH",61755,9.70,-0.42,0.00
"10/25/2016 02:10:00","NPX",61845,18.46,0.97,-7.37
"10/25/2016 02:10:00","O H",61846,9.77,-0.35,0.00
"10/25/2016 02:10:00","PJM",61847,10.45,0.33,0.00
"10/25/2016 02:10:00","WEST",61752,9.90,-0.22,0.00
"10/25/2016 02:15:00","CAPITL",61757,5.69,0.37,0.00
"10/25/2016 02:15:00","CENTRL",61754,5.34,0.02,0.00
"10/25/2016 02:15:00","DUNWOD",61760,5.77,0.45,0.00
"10/25/2016 02:15:00","GENESE",61753,5.20,-0.12,0.00
"10/25/2016 02:15:00","H Q",61844,5.17,-0.15,0.00
